num_sections,dll_characteristics,max_section_entropy,num_dlls,dangerous_api_count,num_rwe_sections,characteristics,is_ep_in_unexpected_section,avg_section_entropy,num_imports,size_of_image,api_list,label
3,34144,5.848389443,1,0,0,34,0,3.300490883,1,98304,_CorExeMain,1
5,0,4.330292196,2,0,0,8462,0,1.31872362,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,7.126242544,2,0,0,8462,0,1.877816034,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,2.644131351,2,0,0,8462,0,0.981393795,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,2.977451329,2,0,0,8462,0,1.048057791,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,2.129232936,2,0,0,8462,0,0.878414112,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,4.32951596,2,0,0,8462,0,1.318470717,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,3.857253913,2,0,0,8462,0,1.224115964,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
3,34112,5.841152502,1,0,0,2,0,3.668119475,1,90112,_CorExeMain,1
5,0,6.415417715,2,0,0,8462,0,1.735651068,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
9,352,7.999196815,3,2,0,558,0,4.363142994,132,13004800,CloseHandle CopyFileA CreateProcessA CreateToolhelp32Snapshot DeleteCriticalSection DeleteProcThreadAttributeList EnterCriticalSection ExitProcess FormatMessageA GetConsoleWindow GetEnvironmentVariableA GetFileAttributesA GetLastError GetModuleFileNameA GetModuleHandleA GetProcAddress GetProcessHeap GetSystemTimeAsFileTime GetThreadId HeapAlloc InitializeConditionVariable InitializeCriticalSection InitializeProcThreadAttributeList IsDBCSLeadByteEx LeaveCriticalSection LoadLibraryW LocalFree MultiByteToWideChar OpenProcess Process32First Process32Next RaiseException RtlCaptureContext RtlLookupFunctionEntry RtlUnwindEx RtlVirtualUnwind SetFileAttributesA SetLastError SetUnhandledExceptionFilter Sleep SleepConditionVariableCS TlsAlloc TlsFree TlsGetValue TlsSetValue TryEnterCriticalSection UpdateProcThreadAttribute VirtualProtect VirtualQuery WakeAllConditionVariable WakeConditionVariable WideCharToMultiByte __C_specific_handler ___lc_codepage_func ___mb_cur_max_func __getmainargs __initenv __iob_func __set_app_type __setusermatherr _amsg_exit _cexit _commode _errno _filelengthi64 _fileno _fmode _fstat64 _get_osfhandle _initterm _lock _lseeki64 _time64 _unlock _wfopen abort atexit calloc exit fclose fflush fgetpos fopen fprintf fputc fputs fread free fsetpos fwrite getc getenv getwc iswctype localeconv malloc memchr memcmp memcpy memmove memset putc putwc rand realloc setlocale setvbuf signal srand strchr strcmp strcoll strerror strftime strlen strncmp strtoul strxfrm towlower towupper ungetc ungetwc vfprintf wcscoll wcsftime wcslen wcsxfrm _write _read _fileno _fdopen ShowWindow,1
5,0,5.74628039,2,0,0,8462,0,1.601823603,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,3.930819608,2,0,0,8462,0,1.238829103,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
